sample_idx,label,word,language,digit,speaker,trial,original_filename,speaker_gender,speaker_age,speaker_height
0,11,eins,german,1,2,0,lang-german_speaker-02_trial-0_digit-1.flac,female,23,158
1,13,drei,german,3,11,0,lang-german_speaker-11_trial-0_digit-3.flac,female,31,163
2,5,five,english,5,0,0,lang-english_speaker-00_trial-0_digit-5.flac,male,24,180
3,10,null,german,0,11,0,lang-german_speaker-11_trial-0_digit-0.flac,female,31,163
4,1,one,english,1,9,0,lang-english_speaker-09_trial-0_digit-1.flac,male,32,183
5,13,drei,german,3,3,0,lang-german_speaker-03_trial-0_digit-3.flac,female,23,174
6,4,four,english,4,8,0,lang-english_speaker-08_trial-0_digit-4.flac,male,21,182
7,14,vier,german,4,6,0,lang-german_speaker-06_trial-0_digit-4.flac,female,35,163
8,6,six,english,6,11,0,lang-english_speaker-11_trial-0_digit-6.flac,female,31,163
9,0,zero,english,0,3,0,lang-english_speaker-03_trial-0_digit-0.flac,female,23,174
10,11,eins,german,1,3,0,lang-german_speaker-03_trial-0_digit-1.flac,female,23,174
11,17,sieben,german,7,10,0,lang-german_speaker-10_trial-0_digit-7.flac,female,25,160
12,5,five,english,5,3,0,lang-english_speaker-03_trial-0_digit-5.flac,female,23,174
13,9,nine,english,9,9,0,lang-english_speaker-09_trial-0_digit-9.flac,male,32,183
14,12,zwei,german,2,10,0,lang-german_speaker-10_trial-0_digit-2.flac,female,25,160
15,12,zwei,german,2,11,0,lang-german_speaker-11_trial-0_digit-2.flac,female,31,163
16,5,five,english,5,3,0,lang-english_speaker-03_trial-0_digit-5.flac,female,23,174
17,0,zero,english,0,7,0,lang-english_speaker-07_trial-0_digit-0.flac,male,56,175
18,14,vier,german,4,3,0,lang-german_speaker-03_trial-0_digit-4.flac,female,23,174
19,5,five,english,5,2,0,lang-english_speaker-02_trial-0_digit-5.flac,female,23,158
20,9,nine,english,9,11,0,lang-english_speaker-11_trial-0_digit-9.flac,female,31,163
21,5,five,english,5,3,0,lang-english_speaker-03_trial-0_digit-5.flac,female,23,174
22,15,fuenf,german,5,3,0,lang-german_speaker-03_trial-0_digit-5.flac,female,23,174
23,15,fuenf,german,5,2,0,lang-german_speaker-02_trial-0_digit-5.flac,female,23,158
24,19,neun,german,9,2,0,lang-german_speaker-02_trial-0_digit-9.flac,female,23,158
25,12,zwei,german,2,9,0,lang-german_speaker-09_trial-0_digit-2.flac,male,32,183
26,0,zero,english,0,7,0,lang-english_speaker-07_trial-0_digit-0.flac,male,56,175
27,14,vier,german,4,3,0,lang-german_speaker-03_trial-0_digit-4.flac,female,23,174
28,19,neun,german,9,1,0,lang-german_speaker-01_trial-0_digit-9.flac,male,22,195
29,9,nine,english,9,8,0,lang-english_speaker-08_trial-0_digit-9.flac,male,21,182
30,1,one,english,1,11,1,lang-english_speaker-11_trial-1_digit-1.flac,female,31,163
31,11,eins,german,1,8,0,lang-german_speaker-08_trial-0_digit-1.flac,male,21,182
32,12,zwei,german,2,11,0,lang-german_speaker-11_trial-0_digit-2.flac,female,31,163
33,16,sechs,german,6,3,0,lang-german_speaker-03_trial-0_digit-6.flac,female,23,174
34,0,zero,english,0,6,0,lang-english_speaker-06_trial-0_digit-0.flac,female,35,163
35,16,sechs,german,6,7,0,lang-german_speaker-07_trial-0_digit-6.flac,male,56,175
36,11,eins,german,1,11,0,lang-german_speaker-11_trial-0_digit-1.flac,female,31,163
37,15,fuenf,german,5,10,0,lang-german_speaker-10_trial-0_digit-5.flac,female,25,160
38,13,drei,german,3,0,0,lang-german_speaker-00_trial-0_digit-3.flac,male,24,180
39,12,zwei,german,2,0,0,lang-german_speaker-00_trial-0_digit-2.flac,male,24,180
40,2,two,english,2,0,0,lang-english_speaker-00_trial-0_digit-2.flac,male,24,180
41,14,vier,german,4,11,0,lang-german_speaker-11_trial-0_digit-4.flac,female,31,163
42,6,six,english,6,0,0,lang-english_speaker-00_trial-0_digit-6.flac,male,24,180
43,17,sieben,german,7,0,0,lang-german_speaker-00_trial-0_digit-7.flac,male,24,180
44,9,nine,english,9,9,0,lang-english_speaker-09_trial-0_digit-9.flac,male,32,183
45,3,three,english,3,2,0,lang-english_speaker-02_trial-0_digit-3.flac,female,23,158
46,4,four,english,4,11,1,lang-english_speaker-11_trial-1_digit-4.flac,female,31,163
47,4,four,english,4,2,0,lang-english_speaker-02_trial-0_digit-4.flac,female,23,158
48,3,three,english,3,11,1,lang-english_speaker-11_trial-1_digit-3.flac,female,31,163
49,11,eins,german,1,1,1,lang-german_speaker-01_trial-1_digit-1.flac,male,22,195
50,15,fuenf,german,5,0,0,lang-german_speaker-00_trial-0_digit-5.flac,male,24,180
51,1,one,english,1,11,1,lang-english_speaker-11_trial-1_digit-1.flac,female,31,163
52,3,three,english,3,8,0,lang-english_speaker-08_trial-0_digit-3.flac,male,21,182
53,12,zwei,german,2,1,1,lang-german_speaker-01_trial-1_digit-2.flac,male,22,195
54,1,one,english,1,10,0,lang-english_speaker-10_trial-0_digit-1.flac,female,25,160
55,5,five,english,5,9,0,lang-english_speaker-09_trial-0_digit-5.flac,male,32,183
56,9,nine,english,9,10,0,lang-english_speaker-10_trial-0_digit-9.flac,female,25,160
57,1,one,english,1,7,0,lang-english_speaker-07_trial-0_digit-1.flac,male,56,175
58,6,six,english,6,8,0,lang-english_speaker-08_trial-0_digit-6.flac,male,21,182
